experiment_name,model_name,accuracy,accuracy_interval_lower,accuracy_interval_upper,precision,precision_interval_lower,precision_interval_upper,recall,recall_interval_lower,recall_interval_upper,f1_score,f1_score_interval_lower,f1_score_interval_upper
experiment #106,SVM (mean),0.7865911237016053,0.7995775076934258,0.810612598238022,0.7762376237623763,0.8939947730712877,0.8985723285823038,1.0,0.6073969465153659,0.6297925959682942,0.8740245261984393,0.6171137093371267,0.6496431461990649
experiment #106,SVM (EM),0.959395656279509,0.988817781085929,0.9949365435565076,0.9946595460614152,0.9868631513864852,0.9948778278331528,0.9502551020408164,0.983480726993332,0.9919951398082284,0.9719504240052184,0.985251210646126,0.9933158994275704
experiment #106,Decision Tree,0.967894239848914,0.9839364383922642,0.9896263536325602,0.996031746031746,0.9779621571051564,0.9856677719844854,0.9604591836734694,0.9787445902613872,0.9884609505183264,0.977922077922078,0.9789088174615548,0.9864008019791976
experiment #107,SVM (mean),0.9792256846081208,0.9753513327693746,0.9849882185378268,0.978643216080402,0.9717207599451552,0.9860620531427302,0.9936224489795918,0.96134612371764,0.9765729964317226,0.9860759493670886,0.9672674366999808,0.9800661113066984
experiment #107,SVM (EM),0.9792256846081208,0.9788942645290069,0.9844641547027224,0.978643216080402,0.9758513566551024,0.9853059438949318,0.9936224489795918,0.9664270214869712,0.9759283992451518,0.9860759493670886,0.9719798717984526,0.9793804212843096
experiment #107,Decision Tree,0.9338999055712937,0.9820888202956118,0.9903411829144324,0.9877049180327868,0.9749785878995708,0.9878833613473144,0.9221938775510204,0.9774666501389664,0.9875234001408928,0.9538258575197888,0.976529980455122,0.9873064617319656
experiment #108,SVM (mean),0.7875354107648725,0.8017311640312311,0.8122360935212888,0.7770069375619425,0.8948910157506822,0.8992684736811036,1.0,0.6115981972947859,0.6329824127270005,0.8745119910764082,0.6234336130508998,0.6540176060922499
experiment #108,SVM (EM),0.9423984891406988,0.9878634734279162,0.9936252735849596,0.9958847736625516,0.984962313380845,0.9923624435308244,0.9260204081632653,0.9828526698409736,0.9911016394202664,0.959682749504296,0.984012906528005,0.991600870424622
experiment #108,Decision Tree,0.7525967894239849,0.9865471430481638,0.993061231599623,0.9980916030534353,0.9808311875024648,0.9907378735327282,0.6670918367346939,0.9831308503633382,0.9920128056769012,0.7996941896024465,0.9823711764478243,0.99089785738496
experiment #109,SVM (mean),0.9811142587346552,0.979692584083217,0.9863123379840508,0.9811083123425692,0.9756722815968072,0.9869342374993728,0.9936224489795918,0.969031891090266,0.9789924357129992,0.9873257287705955,0.9731355947736066,0.9818719812923192
experiment #109,SVM (EM),0.9811142587346552,0.9808011807574374,0.9885999677249252,0.9811083123425692,0.9782801883168314,0.9893955131523045,0.9936224489795918,0.9699871801530734,0.9817629952181808,0.9873257287705955,0.9745535238231848,0.984876692972568
experiment #109,Decision Tree,0.8876298394711992,0.9839241234184908,0.9903926722443832,0.9970104633781764,0.9782262978749112,0.9869040321534612,0.8507653061224489,0.9780617521141568,0.9896514028787544,0.918100481761872,0.9788563230339902,0.9874072634801978
experiment #110,SVM (mean),0.76109537299339,0.799455517774582,0.8103672164694525,0.7560270009643202,0.8918712034231024,0.8980288238199148,1.0,0.607242668434908,0.6297148534345277,0.8610653487095002,0.6166907323906129,0.6496902692711152
experiment #110,SVM (EM),0.9782813975448535,0.993749051786964,0.9979383612743477,0.9922380336351876,0.9922546262292132,0.9982992830572176,0.9783163265306124,0.9909052500154816,0.9967006544837236,0.9852280025690432,0.9917724115566712,0.99727981991152
experiment #110,Decision Tree,0.9357884796978282,0.8366765236347633,0.8535956167511554,0.9786096256684492,0.7846505928322263,0.8099676202243722,0.9336734693877552,0.787808599941334,0.8100386015450134,0.9556135770234988,0.7874999105358805,0.8072704313745279
experiment #111,SVM (mean),0.9773371104815864,0.9758663206266384,0.9852293743478596,0.9761904761904762,0.972645252154708,0.9855283769376126,0.9936224489795918,0.9621144233473764,0.9772922674561983,0.9848293299620732,0.96795159902115,0.9804014993405828
experiment #111,SVM (EM),0.9480642115203022,0.9860503678287422,0.9931728015545728,0.9527950310559006,0.9850032280119004,0.994169955944848,0.9783163265306124,0.9777352011650836,0.9883811829827268,0.9653870358716172,0.9815307597155212,0.9909529073237028
experiment #111,Decision Tree,0.9811142587346552,0.9716734330149608,0.9818693854035574,0.9884910485933504,0.9605209584929262,0.9762397843092754,0.985969387755102,0.9638409503138176,0.9782888896493258,0.9872286079182632,0.962908595387864,0.9762518025528396
experiment #112,SVM (mean),0.7488196411709159,0.7981422751253181,0.811298107226574,0.7466666666666667,0.8900200456478523,0.8992435536192683,1.0,0.6047281150194038,0.6314559863707291,0.8549618320610687,0.6129004880797903,0.6520252803260155
